# NodeID1	NodeID2	Image similarity weight
0	4	0.029663
0	5	0.250146
0	7	0.052237
0	10	0.096204
0	12	0.102050
0	13	0.168104
0	14	0.066859
0	16	0.200717
0	17	0.055916
0	24	0.088916
0	25	0.044040
0	27	0.082084
0	28	0.159911
0	30	0.410559
0	31	0.352096
0	32	0.017837
0	33	0.038515
0	35	0.050022
0	37	0.041887
0	42	0.119510
0	43	0.131667
0	45	0.016497
0	46	0.049060
0	48	0.055243
0	59	0.025348
0	60	0.194340
0	67	0.570880
0	72	0.100457
0	73	0.115768
0	74	0.161396
0	77	0.486300
0	78	0.054782
0	79	0.098603
0	81	0.075673
0	134	0.028267
0	138	0.028923
0	142	0.066204
0	145	0.060627
0	149	0.015119
0	154	0.033070
0	178	0.015432
0	184	0.032728
0	200	0.027653
0	330	0.016012
0	333	0.021355
0	361	0.015387
0	405	0.027240
0	517	0.021587
0	542	0.020575
0	554	0.052281
0	557	0.037806
0	564	0.018254
0	571	0.070901
0	582	0.053410
0	583	0.022809
0	593	0.032792
1	2	0.015300
1	3	0.016766
1	4	0.019510
1	5	0.017509
1	10	0.016789
1	14	0.017742
1	17	0.030801
1	18	0.108953
1	21	0.090432
1	25	0.021125
1	26	0.019323
1	27	0.030020
1	28	0.018657
1	32	0.023536
1	33	0.018054
1	34	0.051083
1	36	0.023382
1	39	0.015269
1	42	0.043174
1	43	0.044072
1	44	0.029537
1	52	0.093112
1	55	0.015979
1	60	0.023359
1	71	0.027919
1	73	0.028339
1	74	0.016374
1	78	0.057431
1	79	0.066591
1	80	0.023458
1	126	0.021277
1	157	0.025370
1	168	0.018771
1	174	0.018840
1	181	0.076951
1	235	0.030404
1	325	0.020842
1	356	0.017303
1	411	0.082722
1	444	0.051109
1	516	0.037108
1	551	0.024280
1	570	0.030887
1	571	0.029206
1	587	0.076754
1	608	0.017353
1	632	0.015803
1	642	0.015316
1	653	0.015937
1	660	0.029337
1	678	0.144007
1	701	0.033251
1	703	0.015269
1	722	0.015683
1	748	0.366213
1	755	0.031682
1	770	0.028417
1	788	0.035566
1	812	0.017517
1	827	0.026441
2	3	0.779355
2	4	0.028505
2	5	0.016398
2	6	0.064611
2	7	0.019018
2	9	0.016535
2	10	0.052206
2	12	0.048848
2	14	0.029392
2	16	0.030467
2	17	0.112885
2	18	0.038472
2	19	0.044106
2	21	0.021408
2	24	0.040325
2	25	0.026984
2	26	0.018374
2	27	0.085168
2	28	0.015438
2	31	0.017103
2	33	0.050023
2	34	0.181525
2	35	0.016621
2	37	0.065545
2	38	0.015758
2	39	0.029010
2	41	0.448472
2	42	0.056060
2	43	0.073568
2	44	0.286543
2	46	0.024321
2	48	0.019425
2	49	0.340682
2	51	0.291771
2	52	0.038798
2	54	0.308558
2	60	0.056993
2	63	0.032326
2	67	0.017314
2	71	0.035826
2	72	0.015160
2	74	0.064882
2	75	0.036558
2	78	0.089775
2	79	0.019452
2	175	0.026456
2	244	0.037534
2	245	0.025493
2	272	0.019122
2	334	0.046556
2	376	0.036737
2	408	0.022962
2	519	0.026801
2	532	0.021445
2	537	0.023965
2	605	0.020733
2	613	0.015536
2	617	0.024545
2	621	0.029855
2	622	0.036068
2	636	0.039622
2	638	0.015522
2	641	0.210357
2	642	0.094326
2	647	0.023103
2	783	0.023452
2	795	0.024237
3	4	0.026854
3	5	0.016474
3	6	0.053906
3	9	0.017105
3	10	0.037821
3	12	0.032980
3	14	0.018076
3	16	0.020643
3	17	0.080068
3	18	0.046348
3	19	0.043510
3	21	0.023302
3	24	0.026931
3	25	0.020269
3	26	0.016386
3	27	0.080607
3	32	0.016340
3	33	0.047553
3	34	0.173597
3	35	0.020363
3	37	0.036123
3	39	0.015837
3	41	0.504203
3	42	0.053937
3	43	0.068157
3	44	0.219559
3	46	0.016937
3	48	0.022850
3	49	0.373243
3	51	0.294356
3	52	0.030626
3	54	0.320541
3	60	0.059263
3	63	0.036933
3	71	0.025478
3	74	0.035129
3	75	0.026553
3	76	0.016401
3	78	0.060137
3	79	0.017872
3	175	0.036779
3	196	0.021290
3	244	0.055639
3	245	0.033970
3	249	0.019496
3	272	0.029442
3	334	0.052698
3	376	0.054477
3	408	0.020228
3	519	0.025540
3	532	0.023439
3	537	0.032424
3	605	0.019375
3	606	0.016222
3	617	0.023201
3	621	0.024092
3	622	0.026318
3	636	0.027279
3	641	0.213365
3	642	0.094588
3	647	0.017953
3	783	0.030542
3	795	0.027124
4	5	0.235241
4	8	0.016412
4	9	0.028173
4	10	0.071458
4	11	0.094169
4	13	0.062708
4	14	0.156230
4	15	0.052861
4	16	0.080499
4	17	0.049703
4	18	0.028095
4	20	0.117351
4	24	0.084181
4	25	0.084950
4	26	0.038379
4	27	0.261882
4	28	0.287520
4	29	0.170227
4	31	0.317540
4	32	0.131887
4	33	0.076833
4	35	0.037323
4	36	0.101540
4	37	0.411139
4	38	0.042815
4	39	0.051221
4	42	0.198315
4	43	0.192842
4	44	0.185762
4	45	0.136127
4	46	0.593998
4	48	0.124099
4	50	0.199627
4	52	0.078324
4	57	0.049742
4	59	0.030332
4	60	0.020679
4	66	0.135193
4	67	0.092124
4	69	0.044335
4	71	0.451450
4	72	0.273403
4	73	0.234363
4	74	0.208601
4	76	0.028755
4	77	0.020558
4	78	0.195513
4	79	0.037680
4	80	0.020576
4	234	0.016922
4	400	0.015716
4	518	0.015379
4	535	0.022421
4	536	0.032564
4	547	0.036242
4	560	0.015617
4	571	0.045562
4	591	0.033512
4	627	0.015192
4	638	0.028532
4	705	0.016578
4	794	0.016916
4	819	0.024969
5	7	0.066512
5	8	0.015259
5	9	0.018804
5	10	0.140646
5	11	0.078085
5	12	0.055021
5	13	0.135963
5	14	0.151046
5	16	0.206512
5	17	0.164653
5	18	0.016636
5	20	0.048256
5	24	0.229682
5	25	0.210332
5	26	0.043970
5	27	0.119949
5	28	0.230553
5	29	0.122719
5	30	0.111115
5	31	0.469692
5	32	0.040032
5	33	0.082219
5	35	0.053400
5	36	0.111041
5	37	0.058178
5	38	0.032355
5	42	0.216257
5	43	0.162060
5	44	0.036894
5	45	0.047490
5	46	0.147604
5	48	0.080266
5	50	0.089518
5	59	0.116914
5	60	0.098995
5	66	0.017686
5	67	0.537261
5	71	0.029735
5	72	0.563238
5	73	0.277310
5	74	0.147444
5	76	0.042002
5	77	0.215530
5	78	0.080786
5	79	0.098793
5	80	0.023484
5	81	0.043555
5	138	0.015189
5	155	0.021902
5	200	0.018536
5	536	0.024425
5	547	0.022648
5	554	0.017039
5	564	0.016517
5	571	0.119612
5	584	0.026381
5	593	0.019060
5	633	0.016448
5	638	0.030539
5	749	0.018163
5	819	0.027237
6	18	0.023782
6	19	0.574615
6	21	0.016600
6	34	0.332916
6	41	0.707878
6	44	0.054811
6	49	0.817164
6	51	0.911729
6	52	0.167935
6	54	0.821870
6	55	0.043579
6	63	0.913420
6	64	0.054337
6	75	0.819100
6	168	0.029656
6	233	0.016475
6	244	0.084411
6	245	0.051848
6	272	0.092972
6	307	0.015086
6	325	0.033762
6	336	0.019575
6	355	0.017891
6	376	0.026970
6	382	0.025941
6	408	0.033285
6	433	0.044282
6	457	0.018157
6	498	0.037982
6	530	0.030293
6	532	0.029605
6	544	0.035558
6	641	0.094098
6	642	0.067858
6	644	0.091501
6	675	0.025278
6	719	0.035328
6	795	0.056306
7	8	0.027850
7	10	0.057327
7	11	0.019177
7	12	0.017484
7	14	0.048757
7	16	0.137512
7	17	0.258108
7	23	0.031006
7	24	0.276026
7	25	0.021964
7	27	0.079654
7	28	0.015097
7	29	0.022579
7	30	0.076039
7	32	0.017043
7	33	0.025286
7	36	0.033153
7	37	0.052301
7	39	0.023236
7	42	0.082125
7	43	0.034273
7	44	0.029738
7	50	0.020129
7	59	0.410369
7	60	0.026194
7	67	0.095765
7	71	0.037899
7	72	0.042018
7	74	0.029138
7	77	0.052236
7	78	0.044664
7	81	0.113137
7	85	0.037833
7	88	0.019135
7	114	0.019617
7	116	0.016059
7	119	0.028806
7	134	0.047171
7	179	0.072327
7	180	0.018854
7	184	0.018079
